ts_lamport;ts_epoch_ms;nodo;tipo;detalle
1147;1782096156127;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1149;1782096156127;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1157;1782096156131;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1158;1782096156131;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1166;1782096156140;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1168;1782096156141;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1173;1782096156144;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1175;1782096156146;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1183;1782096156149;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1184;1782096156150;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1190;1782096156155;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1192;1782096156155;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1198;1782096156158;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1200;1782096156159;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1207;1782096156163;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1209;1782096156163;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1215;1782096156167;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1217;1782096156167;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1225;1782096156171;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1227;1782096156177;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1233;1782096156177;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
1235;1782096156177;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
1241;1782096156181;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
